MATLAB is selecting SOFTWARE OPENGL rendering.

                            < M A T L A B (R) >
                  Copyright 1984-2022 The MathWorks, Inc.
                  R2022b (9.13.0.2049777) 64-bit (glnxa64)
                              August 24, 2022

 
To get started, type doc.
For product information, visit www.mathworks.com.
 
Starting parallel pool (parpool) using the 'Processes' profile ...
Connected to the parallel pool (number of workers: 12).
Job number 151 of 200 done! Time = 0.611895 s
Job number 126 of 200 done! Time = 0.595087 s
Job number 125 of 200 done! Time = 0.580564 s
Job number 168 of 200 done! Time = 0.589286 s
Job number 167 of 200 done! Time = 0.594388 s
Job number 146 of 200 done! Time = 0.58132 s
Job number 145 of 200 done! Time = 0.588173 s
Job number 134 of 200 done! Time = 0.61042 s
Job number 133 of 200 done! Time = 0.61653 s
Job number 122 of 200 done! Time = 0.594482 s
Job number 121 of 200 done! Time = 0.598928 s
Job number 118 of 200 done! Time = 0.608137 s
Job number 117 of 200 done! Time = 0.604439 s
Job number 160 of 200 done! Time = 0.589147 s
Job number 159 of 200 done! Time = 0.585459 s
Job number 110 of 200 done! Time = 0.602923 s
Job number 109 of 200 done! Time = 0.608233 s
Job number 154 of 200 done! Time = 0.60615 s
Job number 153 of 200 done! Time = 0.603857 s
Job number 138 of 200 done! Time = 0.608409 s
Job number 137 of 200 done! Time = 0.609229 s
Job number 130 of 200 done! Time = 0.599506 s
Job number 129 of 200 done! Time = 0.604154 s
Job number 164 of 200 done! Time = 0.590005 s
Job number 163 of 200 done! Time = 0.587691 s
Job number 142 of 200 done! Time = 0.5879 s
Job number 141 of 200 done! Time = 0.60691 s
Job number 114 of 200 done! Time = 0.619569 s
Job number 113 of 200 done! Time = 0.600577 s
Job number 150 of 200 done! Time = 0.602067 s
Job number 149 of 200 done! Time = 0.592306 s
Job number 166 of 200 done! Time = 0.597728 s
Job number 165 of 200 done! Time = 0.59821 s
Job number 181 of 200 done! Time = 0.5983 s
Job number 174 of 200 done! Time = 0.59709 s
Job number 173 of 200 done! Time = 0.600633 s
Job number 178 of 200 done! Time = 0.60765 s
Job number 177 of 200 done! Time = 0.596622 s
Job number 172 of 200 done! Time = 0.590467 s
Job number 171 of 200 done! Time = 0.592211 s
Job number 184 of 200 done! Time = 0.593587 s
Job number 170 of 200 done! Time = 0.587816 s
Job number 169 of 200 done! Time = 0.589422 s
Job number 176 of 200 done! Time = 0.591636 s
Job number 175 of 200 done! Time = 0.594953 s
Job number 162 of 200 done! Time = 0.589586 s
Job number 161 of 200 done! Time = 0.588169 s
Job number 183 of 200 done! Time = 0.58621 s
Job number 180 of 200 done! Time = 0.601626 s
Job number 179 of 200 done! Time = 0.608955 s
Job number 158 of 200 done! Time = 0.59444 s
Job number 157 of 200 done! Time = 0.591336 s
Job number 182 of 200 done! Time = 0.606071 s
Job number 187 of 200 done! Time = 0.598797 s
Job number 192 of 200 done! Time = 0.60196 s
Job number 188 of 200 done! Time = 0.590872 s
Job number 200 of 200 done! Time = 0.444032 s
Job number 189 of 200 done! Time = 0.586934 s
Job number 190 of 200 done! Time = 0.593614 s
Job number 186 of 200 done! Time = 0.594175 s
Job number 191 of 200 done! Time = 0.613525 s
Job number 185 of 200 done! Time = 0.588982 s
Job number 193 of 200 done! Time = 0.601814 s
Job number 199 of 200 done! Time = 0.692052 s
Job number 195 of 200 done! Time = 0.602193 s
Job number 197 of 200 done! Time = 0.693216 s
Job number 196 of 200 done! Time = 0.601107 s
Job number 198 of 200 done! Time = 0.598575 s
Job number 194 of 200 done! Time = 0.604985 s
Total time elapsed: 44.6362 s, time per job: [Warning: MATLAB has disabled some advanced graphics rendering features by
switching to software OpenGL. For more information, click <a
href="matlab:opengl('problems')">here</a>.] 
