MATLAB is selecting SOFTWARE OPENGL rendering.

                            < M A T L A B (R) >
                  Copyright 1984-2022 The MathWorks, Inc.
                  R2022b (9.13.0.2049777) 64-bit (glnxa64)
                              August 24, 2022

 
To get started, type doc.
For product information, visit www.mathworks.com.
 
Number of jobs (multiplexed): 2
Starting parallel pool (parpool) using the 'Processes' profile ...
Connected to the parallel pool (number of workers: 12).
Job number 108 of 512 done! Time = 12.3709 s
Job number 88 of 512 done! Time = 12.4849 s
Job number 129 of 512 done! Time = 13.4743 s
Job number 148 of 512 done! Time = 12.4249 s
Job number 228 of 512 done! Time = 12.5086 s
Job number 268 of 512 done! Time = 12.5306 s
Job number 208 of 512 done! Time = 13.3046 s
Job number 107 of 512 done! Time = 12.3475 s
Job number 188 of 512 done! Time = 13.2346 s
Job number 248 of 512 done! Time = 13.3047 s
Job number 48 of 512 done! Time = 13.3575 s
Job number 68 of 512 done! Time = 13.3424 s
Job number 168 of 512 done! Time = 13.4302 s
Job number 87 of 512 done! Time = 12.4889 s
Job number 147 of 512 done! Time = 12.3942 s
Job number 227 of 512 done! Time = 12.4983 s
Job number 267 of 512 done! Time = 12.4601 s
Job number 128 of 512 done! Time = 13.5993 s
Job number 106 of 512 done! Time = 12.3392 s
Job number 187 of 512 done! Time = 13.1922 s
Job number 207 of 512 done! Time = 13.3002 s
Job number 247 of 512 done! Time = 13.3535 s
Job number 67 of 512 done! Time = 13.7261 s
Job number 86 of 512 done! Time = 12.471 s
Job number 146 of 512 done! Time = 12.4677 s
Job number 167 of 512 done! Time = 13.4286 s
Job number 226 of 512 done! Time = 12.3918 s
Job number 47 of 512 done! Time = 13.3718 s
Job number 266 of 512 done! Time = 12.5187 s
Job number 127 of 512 done! Time = 13.6729 s
Job number 105 of 512 done! Time = 12.3535 s
Job number 85 of 512 done! Time = 12.3994 s
Job number 145 of 512 done! Time = 12.4514 s
Job number 186 of 512 done! Time = 13.2227 s
Job number 206 of 512 done! Time = 13.2912 s
Job number 166 of 512 done! Time = 13.393 s
Job number 225 of 512 done! Time = 12.3996 s
Job number 246 of 512 done! Time = 13.2263 s
Job number 265 of 512 done! Time = 12.5127 s
Job number 46 of 512 done! Time = 13.4351 s
Job number 66 of 512 done! Time = 13.4515 s
Job number 126 of 512 done! Time = 13.6048 s
Job number 104 of 512 done! Time = 12.3614 s
Job number 84 of 512 done! Time = 12.5479 s
Job number 144 of 512 done! Time = 12.4573 s
Job number 185 of 512 done! Time = 13.2686 s
Job number 205 of 512 done! Time = 13.3429 s
Job number 224 of 512 done! Time = 12.3854 s
Job number 245 of 512 done! Time = 13.2887 s
Job number 264 of 512 done! Time = 12.4608 s
Job number 65 of 512 done! Time = 13.4231 s
Job number 165 of 512 done! Time = 13.3524 s
Job number 45 of 512 done! Time = 13.4851 s
Job number 125 of 512 done! Time = 13.5532 s
Job number 103 of 512 done! Time = 12.3884 s
Job number 83 of 512 done! Time = 12.5001 s
Job number 143 of 512 done! Time = 12.4329 s
Job number 223 of 512 done! Time = 12.4164 s
Job number 263 of 512 done! Time = 12.5156 s
Job number 184 of 512 done! Time = 13.309 s
Job number 204 of 512 done! Time = 13.3616 s
Job number 244 of 512 done! Time = 13.2786 s
Job number 64 of 512 done! Time = 13.3485 s
Job number 164 of 512 done! Time = 13.3139 s
Job number 44 of 512 done! Time = 13.263 s
Job number 124 of 512 done! Time = 13.4236 s
Job number 102 of 512 done! Time = 12.37 s
Job number 82 of 512 done! Time = 12.5248 s
Job number 142 of 512 done! Time = 12.4232 s
Job number 222 of 512 done! Time = 12.5111 s
Job number 262 of 512 done! Time = 12.4836 s
Job number 183 of 512 done! Time = 13.2147 s
Job number 203 of 512 done! Time = 13.3554 s
Job number 163 of 512 done! Time = 13.3535 s
Job number 243 of 512 done! Time = 13.4014 s
